"Date","Close","chg.close.","Low","chg.low.","High","chg.high."
2021-01-04,50.23,50.23,49.97,49.97,51.88,51.88
2021-01-05,51.87,1.64,50.01,0.04,52.26,0.38
2021-01-06,52.02,0.15,51.21,1.2,52.37,0.11
2021-01-07,52.2,0.18,51.89,0.68,52.34,-0.03
2021-01-08,53.33,1.13,52.31,0.42,53.61,1.27
2021-01-11,53.33,0,52.66,0.35,53.48,-0.13
2021-01-12,54.12,0.79,53.35,0.69,54.23,0.75
2021-01-13,54.13,0.01,53.75,0.4,54.82,0.59
2021-01-14,54.43,0.3,53.68,-0.07,54.56,-0.26
2021-01-15,53.53,-0.9,52.97,-0.71,54.5,-0.06
2021-01-19,53.89,0.36,52.93,-0.04,53.93,-0.57
2021-01-20,53.82,-0.07,53.5,0.57,54.25,0.32
2021-01-21,53.79,-0.03,53.41,-0.09,53.83,-0.42
2021-01-22,53.22,-0.57,52.61,-0.8,53.39,-0.44
2021-01-25,53.56,0.34,53.1,0.49,53.51,0.12
2021-01-26,53.36,-0.2,53.19,0.09,53.76,0.25
2021-01-27,53.41,0.05,52.89,-0.3,53.82,0.06
2021-01-28,52.91,-0.5,52.88,-0.01,53.84,0.02
2021-01-29,52.79,-0.12,52.75,-0.13,53.59,-0.25
2021-02-01,53.92,1.13,52.5,-0.25,53.99,0.4
2021-02-02,54.8,0.88,54.02,1.52,55.11,1.12
2021-02-03,55.51,0.71,54.91,0.89,55.71,0.6
2021-02-04,55.83,0.32,55.36,0.45,55.97,0.26
2021-02-05,56.27,0.44,56,0.64,56.53,0.56
2021-02-08,57.36,1.09,56.58,0.58,57.4,0.87
2021-02-09,57.7,0.34,57.26,0.68,57.78,0.38
2021-02-10,57.95,0.25,57.53,0.27,58.03,0.25
2021-02-11,57.64,-0.31,57.41,-0.12,57.95,-0.08
2021-02-12,58.45,0.81,57.11,-0.3,58.66,0.71
2021-02-16,59.2,0.75,58.66,1.55,59.34,0.68
2021-02-17,59.66,0.46,58.89,0.23,60,0.66
2021-02-18,59.35,-0.31,58.92,0.03,60.46,0.46
2021-02-19,58.73,-0.62,58.19,-0.73,59.38,-1.08
2021-02-22,60.59,1.86,59.12,0.93,61.01,1.63
2021-02-23,60.84,0.25,60.08,0.96,61.72,0.71
2021-02-24,62.38,1.54,60.5,0.42,62.45,0.73
2021-02-25,62.32,-0.06,61.97,1.47,62.87,0.42
2021-02-26,60.6,-1.72,60.5,-1.47,62.06,-0.81
2021-03-01,59.96,-0.64,59.59,-0.91,61.82,-0.24
2021-03-02,59.44,-0.52,59,-0.59,60.55,-1.27
2021-03-03,60.67,1.23,59.13,0.13,61.15,0.6
2021-03-04,62.64,1.97,60.17,1.04,63.4,2.25
2021-03-05,64.58,1.94,62.58,2.41,64.75,1.35
2021-03-08,63.96,-0.62,63.49,0.91,66.13,1.38
2021-03-09,63.53,-0.43,63.2,-0.29,64.82,-1.31
2021-03-10,63.7,0.17,62.68,-0.52,64.1,-0.72
2021-03-11,64.98,1.28,63.9,1.22,65.1,1
2021-03-12,64.79,-0.19,64.55,0.65,65,-0.1
2021-03-15,64.55,-0.24,63.82,-0.73,65.45,0.45
2021-03-16,64.29,-0.26,63.43,-0.39,64.51,-0.94
2021-03-17,64.32,0.03,63.76,0.33,64.79,0.28
2021-03-18,60.68,-3.64,59.17,-4.59,64.36,-0.43
2021-03-19,61.71,1.03,60.05,0.88,62.03,-2.33
2021-03-22,61.97,0.26,61,0.95,62.14,0.11
2021-03-23,59.15,-2.82,58.86,-2.14,61.51,-0.63
2021-03-24,61.85,2.7,58.89,0.03,61.85,0.34
2021-03-25,59.61,-2.24,58.91,0.02,61.51,-0.34
2021-03-26,61.71,2.1,59.92,1.01,62,0.49
2021-03-29,61.97,0.26,60.46,0.54,62.3,0.3
2021-03-30,61.24,-0.73,60.8,0.34,62.4,0.1
2021-03-31,60.22,-1.02,60.26,-0.54,61.82,-0.58
2021-04-01,62.49,2.27,60.16,-0.1,62.6,0.78
2021-04-05,60.37,-2.12,59.46,-0.7,62.32,-0.28
2021-04-06,61,0.63,60.48,1.02,62.2,-0.12
2021-04-07,61.24,0.24,60.11,-0.37,61.66,-0.54
2021-04-08,60.86,-0.38,60.3,0.19,61.13,-0.53
2021-04-09,60.76,-0.1,60.33,0.03,60.91,-0.22
2021-04-12,61.15,0.39,60.33,0,61.93,1.02
2021-04-13,61.66,0.51,61.25,0.92,61.94,0.01
2021-04-14,64.14,2.48,62.05,0.8,64.32,2.38
2021-04-15,64.21,0.07,63.6,1.55,64.31,-0.01
2021-04-16,64.02,-0.19,63.86,0.26,64.68,0.37
2021-04-19,64.08,0.06,63.64,-0.22,64.4,-0.28
2021-04-20,63.51,-0.57,62.66,-0.98,64.82,0.42
2021-04-21,62.5,-1.01,62.11,-0.55,63.26,-1.56
2021-04-22,62.65,0.15,61.99,-0.12,63.04,-0.22
2021-04-23,63.3,0.65,62.4,0.41,63.41,0.37
2021-04-26,63.12,-0.18,62.16,-0.24,63.37,-0.04
2021-04-27,63.93,0.81,63.13,0.97,64.19,0.82
2021-04-28,64.69,0.76,63.78,0.65,65.02,0.83
2021-04-29,65.61,0.92,64.83,1.05,65.94,0.92
2021-04-30,64.35,-1.26,64,-0.83,65.48,-0.46
2021-05-03,65.26,0.91,63.88,-0.12,65.34,-0.14
2021-05-04,66.52,1.26,65.3,1.42,66.84,1.5
2021-05-05,66.64,0.12,66.15,0.85,67.39,0.55
2021-05-06,65.97,-0.67,65.89,-0.26,67,-0.39
2021-05-07,66.37,0.4,65.4,-0.49,66.5,-0.5
2021-05-10,66.56,0.19,65.82,0.42,67.3,0.8
2021-05-11,66.95,0.39,65.59,-0.23,67.09,-0.21
2021-05-12,67.68,0.73,66.8,1.21,68.11,1.02
2021-05-13,65.46,-2.22,64.9,-1.9,67.28,-0.83
2021-05-14,66.63,1.17,64.98,0.08,66.72,-0.56
2021-05-17,67.23,0.6,66.34,1.36,67.3,0.58
2021-05-18,66.7,-0.53,65.67,-0.67,67.84,0.54
2021-05-19,64.79,-1.91,63.6,-2.07,66.2,-1.64
2021-05-20,63.65,-1.14,63.36,-0.24,65.14,-1.06
2021-05-21,64.85,1.2,63.3,-0.06,65.25,0.11
2021-05-24,66.74,1.89,65.27,1.97,66.87,1.62
2021-05-25,66.73,-0.01,66.76,1.49,66.76,-0.11
2021-05-26,66.98,0.25,66.24,-0.52,67.1,0.34
2021-05-27,67.38,0.4,66.33,0.09,67.42,0.32
2021-05-28,66.9,-0.48,66.84,0.51,67.84,0.42
2021-06-01,68.32,1.42,68.8,1.96,68.8,0.96
2021-06-02,69.34,1.02,68.47,-0.33,69.4,0.6
2021-06-03,69.28,-0.06,68.98,0.51,68.98,-0.42
2021-06-04,69.87,0.59,68.98,0,70,1.02
2021-06-07,69.58,-0.29,69.11,0.13,70.06,0.06
2021-06-08,70.18,0.6,68.96,-0.15,70.31,0.25
2021-06-09,70.1,-0.08,69.78,0.82,70.58,0.27
2021-06-10,70.26,0.16,69,-0.78,70.6,0.02
2021-06-11,70.36,0.1,69.9,0.9,70.52,-0.08
2021-06-14,70.51,0.15,70.32,0.42,71,0.48
2021-06-15,71.37,0.86,70.4,0.08,71.64,0.64
2021-06-16,71.6,0.23,71.22,0.82,72.05,0.41
2021-06-17,70.27,-1.33,69.35,-1.87,71.56,-0.49
2021-06-18,70.63,0.36,69.5,0.15,70.81,-0.75
2021-06-21,71.69,1.06,70.19,0.69,71.74,0.93
2021-06-22,71.85,0.16,71.4,1.21,72.09,0.35
2021-06-23,72.34,0.49,72.1,0.7,72.9,0.81
2021-06-24,72.66,0.32,71.88,-0.22,72.78,-0.12
2021-06-25,73.15,0.49,72.1,0.22,73.13,0.35
2021-06-28,72.1,-1.05,71.92,-0.18,73.25,0.12
2021-06-29,72.25,0.15,71.4,-0.52,72.84,-0.41
2021-06-30,72.37,0.12,72,0.6,73.1,0.26
2021-07-01,73.44,1.07,72.38,0.38,74.01,0.91
2021-07-02,73.79,0.35,72.91,0.53,73.93,-0.08
2021-07-06,71.92,-1.87,71.54,-1.37,75.02,1.09
2021-07-07,70.96,-0.96,70.15,-1.39,73.25,-1.77
2021-07-08,71.7,0.74,69.83,-0.32,71.87,-1.38
2021-07-09,73.11,1.41,71.42,1.59,73.25,1.38
2021-07-12,72.87,-0.24,71.96,0.54,73.2,-0.05
2021-07-13,74.13,1.26,72.7,0.74,74.24,1.04
2021-07-14,72.46,-1.67,71.7,-1,74.31,0.07
2021-07-15,71.39,-1.07,71.16,-0.54,72.21,-2.1
2021-07-16,71.67,0.28,70.5,-0.66,72.01,-0.2
2021-07-19,66.94,-4.73,66.42,-4.08,71.22,-0.79
2021-07-20,67.61,0.67,65.92,-0.5,67.84,-3.38
2021-07-21,70.31,2.7,67.05,1.13,70.38,2.54
2021-07-22,71.67,1.36,69.77,2.72,71.7,1.32
2021-07-23,71.88,0.21,71.21,1.44,71.95,0.25
2021-07-26,72.06,0.18,70.57,-0.64,72.22,0.27
2021-07-27,71.89,-0.17,71.65,1.08,72.54,0.32
2021-07-28,72.35,0.46,71.95,0.3,72.65,0.11
2021-07-29,73.61,1.26,72.22,0.27,73.65,1
2021-07-30,73.8,0.19,72.95,0.73,74,0.35
2021-08-02,71.49,-2.31,71,-1.95,73.73,-0.27
2021-08-03,71.12,-0.37,69.9,-1.1,72.06,-1.67
2021-08-04,69.32,-1.8,69.07,-0.83,71.43,-0.63
2021-08-05,70.26,0.94,68.81,-0.26,70.35,-1.08
2021-08-06,69.87,-0.39,69.43,0.62,71.32,0.97
2021-08-09,68.16,-1.71,66.93,-2.5,69.05,-2.27
2021-08-10,69.76,1.6,68.44,1.51,70.26,1.21
2021-08-11,70.6,0.84,68.32,-0.12,70.71,0.45
2021-08-12,70.44,-0.16,70,1.68,70.94,0.23
2021-08-13,69.74,-0.7,69.25,-0.75,70.5,-0.44
2021-08-16,68.68,-1.06,67.44,-1.81,69.55,-0.95
2021-08-17,68.12,-0.56,67.97,0.53,69.08,-0.47
2021-08-18,67.26,-0.86,66.3,-1.67,69,-0.08
2021-08-19,65.53,-1.73,64.65,-1.65,66.58,-2.42
